Year,State,Interest Rate,Loan Count,First Time Buyers,Repeat Buyers,One Unit,Greater than One Unit,Total Original UPB($B),Average Original UPB ($),Credit Score,Original Combined Loan-to-Value (CLTV) Ratio,Original Loan-to-Value (LTV) Ratio,Original Debt-toIncome (DTI) Ratio1
2005,WA,5.8,122,1215,29,1492,1521,284368000.0,186961.2,728.5,73.3,69.7,36.5
2005,MD,5.8,68,1155,4,1427,1431,296410000.0,207134.9,717.0,69.8,66.2,36.5
2005,NY,5.8,307,1378,157,1730,1887,377210000.0,199899.3,723.1,68.8,66.6,36.3
2005,DE,5.8,20,163,2,216,218,41322000.0,189550.5,717.7,74.7,70.1,36.2
2005,TX,5.8,332,1719,18,2225,2243,329315000.0,146819.0,719.4,80.5,76.5,35.6
2005,OH,5.9,169,1552,35,1822,1857,240392000.0,129451.8,723.2,77.9,74.1,35.5
2005,FL,5.9,265,3018,27,3746,3773,634206000.0,168090.6,718.0,71.9,68.7,36.5
2005,NH,5.8,29,295,10,354,364,70617000.0,194002.7,719.4,72.2,67.8,39.8
2005,OR,5.8,64,725,18,908,926,160646000.0,173483.8,733.2,74.0,69.9,37.0
2005,MO,5.9,94,1112,17,1321,1338,180304000.0,134756.4,727.3,76.9,72.5,35.8
2005,ME,5.9,15,208,12,234,246,39880000.0,162113.8,723.8,72.0,67.8,39.2
2005,MN,5.7,92,925,9,1320,1329,227746000.0,171366.4,730.6,74.7,70.2,36.0
2005,NC,5.8,130,1165,6,1479,1485,220047000.0,148179.8,726.3,76.2,72.9,34.9
2005,ND,5.7,13,66,2,94,96,11260000.0,117291.7,728.9,81.5,78.2,36.0
2005,MI,5.9,179,1658,27,1937,1964,286913000.0,146086.0,725.4,74.9,71.4,35.9
2005,KS,5.9,48,381,3,459,462,59753000.0,129335.5,724.4,79.6,75.9,36.4
2005,IN,5.9,124,929,10,1168,1178,137985000.0,117135.0,724.8,78.0,74.2,33.7
2005,PA,5.8,257,1407,46,1857,1903,290257000.0,152526.0,723.2,76.2,73.0,36.4
2005,WI,5.8,83,1133,47,1331,1378,203539000.0,147706.1,724.8,76.0,72.6,36.1
2005,IL,5.8,262,2113,79,2565,2644,458198000.0,173297.3,723.6,73.3,70.3,36.8
2005,NJ,5.8,156,1044,68,1281,1349,285703000.0,211788.7,713.8,68.9,65.0,38.7
2005,GA,5.7,109,1241,8,1470,1478,233360000.0,157889.0,724.0,77.2,73.5,37.2
2005,OK,5.8,28,381,5,415,420,53979000.0,128521.4,729.5,79.9,77.1,33.5
2005,IA,5.8,67,378,7,507,514,65521000.0,127472.8,732.3,79.0,75.1,34.1
2005,CA,5.7,133,3732,104,4510,4614,1082728000.0,234661.5,724.0,59.8,56.3,37.9
2005,TN,5.8,68,669,7,802,809,109244000.0,135035.8,723.9,78.5,75.2,36.2
2005,UT,5.8,25,426,7,491,498,81354000.0,163361.4,730.2,76.5,72.6,36.2
2005,MA,5.8,89,1062,108,1157,1265,290497000.0,229641.9,724.7,68.2,63.1,39.0
2005,KY,5.9,51,588,7,687,694,86633000.0,124831.4,720.8,77.0,73.9,35.6
2005,SC,5.8,64,544,2,664,666,95451000.0,143319.8,723.3,79.2,76.5,35.9
2005,CO,5.8,55,778,7,983,990,188400000.0,190303.0,738.0,73.6,68.7,36.9
2005,VT,5.9,7,128,1,148,149,24296000.0,163060.4,721.0,68.7,65.3,39.0
2005,NV,5.8,31,401,2,538,540,107416000.0,198918.5,720.3,69.5,66.0,37.9
2005,VA,5.8,90,1205,5,1477,1482,285463000.0,192620.1,723.1,70.8,67.7,35.8
2005,MS,5.8,12,149,2,177,179,21691000.0,121178.8,713.0,81.4,78.4,34.9
2005,NE,5.8,39,233,4,325,329,40728000.0,123793.3,731.3,79.3,75.1,35.7
2005,AZ,5.9,93,1327,8,1700,1708,301116000.0,176297.4,723.7,72.1,69.2,36.6
2005,NM,5.9,40,255,0,367,367,54520000.0,148555.9,724.7,77.8,74.2,35.0
2005,WV,5.9,19,142,1,176,177,25021000.0,141361.6,717.3,76.7,74.0,34.1
2005,ID,5.8,28,252,6,367,373,49401000.0,132442.4,728.1,74.7,71.3,34.4
2005,LA,5.8,39,345,5,412,417,55263000.0,132525.2,720.6,78.8,76.2,34.0
2005,RI,5.8,11,197,27,196,223,44272000.0,198529.1,719.9,69.1,64.5,38.0
2005,HI,5.6,12,149,2,185,187,53172000.0,284342.2,733.4,67.1,63.7,38.2
2005,AR,5.8,27,280,2,336,338,40949000.0,121150.9,722.8,77.9,74.9,35.5
2005,DC,5.8,6,59,2,74,76,16147000.0,212460.5,712.9,66.5,60.2,34.4
2005,AK,5.8,11,85,13,121,134,24298000.0,181328.4,720.0,78.4,72.9,35.2
2005,SD,5.7,11,86,1,134,135,17252000.0,127792.6,733.0,78.2,74.3,37.8
2005,AL,5.7,63,488,2,595,597,83450000.0,139782.2,724.2,78.9,75.7,36.5
2005,CT,5.7,40,424,33,497,530,100496000.0,189615.1,726.8,69.5,66.8,37.0
2005,MT,5.8,17,149,4,187,191,28938000.0,151507.9,724.4,75.2,72.8,36.8
2005,PR,5.6,16,190,8,198,206,18020000.0,87475.7,691.5,70.4,65.1,37.0
2005,WY,5.8,9,77,4,103,107,15383000.0,143766.4,725.1,78.2,74.9,36.6
2005,GU,6.1,1,12,0,13,13,1583000.0,121769.2,704.2,76.2,75.2,33.4
2005,VI,6.2,1,1,0,2,2,466000.0,233000.0,641.5,67.3,70.5,34.5
2006,KY,6.5,73,627,9,749,758,98131000.0,129460.4,719.1,78.4,73.6,34.3
2006,OK,6.5,56,426,5,494,499,63991000.0,128238.5,719.0,82.2,76.8,33.6
2006,NY,6.4,321,1255,173,1567,1740,379021000.0,217828.2,726.5,70.2,67.2,37.8
2006,KS,6.5,57,373,5,464,469,64086000.0,136643.9,723.8,81.4,77.7,35.8
2006,NC,6.3,206,1433,10,1786,1796,286318000.0,159419.8,726.3,77.8,73.5,36.5
2006,PA,6.4,357,1391,39,1881,1920,323752000.0,168620.8,722.0,77.7,73.6,37.3
2006,WA,6.4,158,1144,13,1441,1454,306002000.0,210455.3,727.7,74.1,69.7,38.2
2006,IN,6.5,113,958,8,1179,1187,153641000.0,129436.4,721.7,79.0,74.9,34.9
2006,MO,6.5,132,1099,15,1307,1322,190729000.0,144273.1,724.4,78.3,74.2,36.4
2006,ME,6.5,22,170,5,197,202,31489000.0,155886.1,721.3,73.5,69.8,37.2
2006,MD,6.4,92,999,9,1230,1239,275315000.0,222207.4,709.7,71.8,66.5,38.7
2006,MI,6.5,175,1443,14,1778,1792,266332000.0,148622.8,725.5,77.1,72.6,36.6
2006,FL,6.5,253,2836,28,3436,3464,633183000.0,182789.5,712.6,72.0,67.9,38.5
2006,IA,6.4,74,377,2,528,530,65754000.0,124064.2,726.0,81.7,77.0,35.7
2006,UT,6.4,68,594,9,703,712,127717000.0,179377.8,729.4,77.0,72.7,37.4
2006,OR,6.3,85,773,20,941,961,182450000.0,189854.3,727.2,74.1,69.2,38.7
2006,OH,6.5,151,1492,26,1746,1772,238753000.0,134736.5,723.5,79.4,74.9,35.4
2006,NE,6.4,42,200,2,279,281,34763000.0,123711.7,728.3,80.5,75.1,37.9
2006,WI,6.5,123,1084,54,1306,1360,209848000.0,154300.0,729.8,76.5,71.9,37.7
2006,MA,6.4,152,995,90,1114,1204,297568000.0,247149.5,727.0,72.3,66.6,38.7
2006,LA,6.4,71,491,8,586,594,86383000.0,145425.9,708.0,78.8,75.6,36.1
2006,IL,6.5,297,2218,80,2636,2716,504310000.0,185681.1,721.5,75.6,71.7,37.3
2006,VT,6.6,15,110,4,123,127,22640000.0,178267.7,718.4,75.0,71.6,40.1
2006,CO,6.4,96,808,12,986,998,198104000.0,198501.0,734.1,76.3,71.2,36.7
2006,MS,6.4,20,228,1,266,267,38072000.0,142591.8,708.9,79.9,75.4,35.9
2006,NJ,6.4,211,969,77,1225,1302,299727000.0,230205.1,716.1,72.0,67.4,39.0
2006,TX,6.4,527,2392,39,3072,3111,472555000.0,151898.1,720.5,81.6,76.3,36.7
2006,CA,6.3,145,2858,95,3290,3385,863971000.0,255235.2,724.6,61.4,55.9,39.0
2006,GA,6.4,213,1436,7,1770,1777,291923000.0,164278.6,725.3,79.6,75.3,37.1
2006,SC,6.4,78,680,8,814,822,126733000.0,154176.4,719.4,78.6,74.4,37.4
2006,AZ,6.4,117,1274,12,1563,1575,301255000.0,191273.0,718.5,72.4,68.2,38.0
2006,MN,6.4,139,935,20,1221,1241,227062000.0,182967.0,728.1,76.8,71.9,38.5
2006,NM,6.5,38,331,5,410,415,69987000.0,168643.4,723.1,77.2,72.9,37.3
2006,VA,6.4,108,1146,11,1381,1392,284910000.0,204676.7,720.5,72.9,67.9,38.1
2006,AL,6.4,74,625,3,734,737,108753000.0,147561.7,722.7,79.3,75.3,35.3
2006,MT,6.4,20,166,7,207,214,35474000.0,165766.4,727.5,74.5,71.0,37.1
2006,NV,6.4,24,412,2,499,501,108907000.0,217379.2,713.9,72.5,67.8,38.6
2006,RI,6.3,15,186,25,189,214,44810000.0,209392.5,715.1,71.1,66.2,39.3
2006,HI,6.1,10,117,4,136,140,44257000.0,316121.4,727.7,68.0,61.8,42.5
2006,ID,6.4,32,297,6,392,398,61617000.0,154816.6,721.2,74.5,70.7,37.7
2006,NH,6.4,53,257,9,320,329,68024000.0,206759.9,722.0,75.0,69.2,40.2
2006,TN,6.4,119,794,9,994,1003,144560000.0,144127.6,721.8,78.6,74.6,35.4
2006,DE,6.4,17,154,1,196,197,41768000.0,212020.3,714.2,77.0,72.2,37.3
2006,CT,6.4,67,419,29,487,516,109528000.0,212263.6,722.6,74.6,69.4,38.0
2006,SD,6.3,9,89,0,128,128,17106000.0,133640.6,734.1,79.5,75.8,37.0
2006,AR,6.3,43,370,8,428,436,55649000.0,127635.3,725.3,78.9,74.5,35.3
2006,ND,6.3,10,66,4,87,91,11529000.0,126692.3,725.1,80.9,76.9,38.7
2006,DC,6.4,17,52,4,74,78,19551000.0,250653.8,708.0,70.4,64.0,37.4
2006,WY,6.4,3,83,3,101,104,16694000.0,160519.2,724.9,76.2,73.5,35.2
2006,PR,6.0,18,134,11,141,152,15913000.0,104690.8,705.8,72.0,66.9,37.7
2006,AK,6.4,18,97,10,124,134,27325000.0,203917.9,720.5,79.1,75.1,40.3
2006,WV,6.5,15,188,2,228,230,29453000.0,128056.5,712.6,75.2,72.6,33.9
2006,GU,6.7,2,12,0,14,14,2236000.0,159714.3,714.2,75.6,76.5,34.1
2007,AK,6.4,12,108,12,121,133,27898000.0,209759.4,718.0,77.1,73.5,36.6
2007,ME,6.4,18,204,12,221,233,39891000.0,171206.0,726.7,74.3,71.0,38.7
2007,NY,6.4,397,1304,225,1619,1844,415246000.0,225187.6,723.6,72.4,69.1,37.5
2007,KY,6.4,62,695,13,801,814,109590000.0,134631.4,718.6,78.2,74.0,35.0
2007,NC,6.3,228,1600,10,1956,1966,321895000.0,163730.9,725.8,78.8,75.2,36.2
2007,OH,6.5,153,1496,40,1657,1697,227214000.0,133891.6,722.3,81.0,76.8,36.7
2007,MI,6.5,147,1424,27,1619,1646,246916000.0,150009.7,724.9,78.6,74.2,36.7
2007,IN,6.5,113,1033,14,1198,1212,152417000.0,125756.6,720.6,80.5,76.1,34.7
2007,CT,6.3,75,438,41,500,541,114854000.0,212299.4,717.3,74.8,70.1,39.1
2007,IL,6.5,308,2232,112,2589,2701,514960000.0,190655.3,723.2,76.9,72.9,38.0
2007,WA,6.3,162,1242,27,1482,1509,329896000.0,218619.0,725.6,74.3,69.5,39.1
2007,IA,6.4,57,366,11,453,464,58225000.0,125484.9,717.4,82.2,77.4,36.8
2007,NH,6.4,25,220,12,258,270,54477000.0,201766.7,723.1,76.3,71.4,41.9
2007,MD,6.3,91,891,10,1070,1080,254636000.0,235774.1,705.4,74.2,68.7,39.2
2007,ND,6.3,10,78,1,97,98,12633000.0,128908.2,730.2,80.0,78.3,38.7
2007,NV,6.4,34,375,3,453,456,100167000.0,219664.5,721.0,76.5,71.8,39.9
2007,WI,6.4,124,983,54,1223,1277,204404000.0,160065.8,724.7,77.7,73.0,37.3
2007,CO,6.4,99,902,11,1063,1074,219419000.0,204300.7,735.5,78.2,73.0,38.5
2007,MO,6.4,137,1172,28,1380,1408,205151000.0,145703.8,725.9,79.0,75.0,36.2
2007,OK,6.4,60,469,8,553,561,71188000.0,126894.8,720.2,82.6,78.0,34.3
2007,WV,6.4,11,221,2,244,246,34897000.0,141857.7,712.1,78.2,73.6,33.9
2007,VA,6.3,130,1131,6,1361,1367,285337000.0,208732.3,723.8,74.3,69.2,38.2
2007,GA,6.3,188,1521,17,1799,1816,301521000.0,166035.8,719.9,80.1,76.2,37.6
2007,MS,6.4,42,244,2,304,306,45653000.0,149192.8,717.5,80.7,76.7,37.3
2007,LA,6.4,57,507,18,564,582,88911000.0,152768.0,711.3,78.8,75.2,36.6
2007,SC,6.3,122,801,6,967,973,152063000.0,156282.6,724.4,79.3,75.8,37.2
2007,TX,6.4,633,2470,39,3223,3262,506666000.0,155323.7,720.2,83.3,78.5,37.1
2007,VT,6.4,17,140,7,155,162,29072000.0,179456.8,729.0,73.7,68.5,38.2
2007,UT,6.4,58,728,17,832,849,164241000.0,193452.3,721.7,76.4,72.8,38.5
2007,NJ,6.4,225,838,68,1101,1169,281920000.0,241163.4,714.7,74.2,69.1,40.0
2007,AL,6.3,69,631,6,742,748,114652000.0,153278.1,713.8,80.1,76.7,36.2
2007,MA,6.3,152,940,102,1038,1140,280862000.0,246370.2,729.1,75.2,70.0,39.3
2007,PA,6.4,304,1429,56,1812,1868,304809000.0,163174.0,719.4,78.8,75.0,37.5
2007,FL,6.4,291,2612,39,3125,3164,575280000.0,181820.5,714.2,74.2,69.4,38.8
2007,TN,6.4,108,872,16,1036,1052,156508000.0,148771.9,721.7,80.2,76.1,36.0
2007,WY,6.5,12,71,2,91,93,16390000.0,176236.6,716.2,82.0,77.9,38.8
2007,OR,6.3,102,707,19,860,879,179319000.0,204003.4,733.2,74.7,69.4,38.8
2007,MN,6.3,126,840,22,1067,1089,198053000.0,181866.9,731.1,77.8,71.9,38.2
2007,NE,6.4,24,220,2,272,274,35806000.0,130678.8,728.3,80.6,76.1,36.2
2007,HI,6.1,13,126,0,143,143,45783000.0,320160.8,729.4,72.8,64.7,42.0
2007,AR,6.3,57,440,5,513,518,68968000.0,133142.9,723.4,79.7,76.2,36.1
2007,SD,6.3,7,71,3,90,93,13325000.0,143279.6,727.9,81.3,76.3,40.7
2007,CA,6.3,332,3165,156,3595,3751,1017820000.0,271346.3,732.6,64.7,58.9,39.5
2007,NM,6.4,40,290,5,355,360,62031000.0,172308.3,716.5,76.5,72.8,37.2
2007,AZ,6.4,122,1140,8,1394,1402,266511000.0,190093.4,724.8,73.3,68.1,38.1
2007,KS,6.5,59,351,9,436,445,61918000.0,139141.6,725.7,81.8,77.4,35.1
2007,RI,6.4,16,159,26,164,190,41670000.0,219315.8,718.6,73.0,68.6,40.0
2007,MT,6.3,21,153,4,190,194,32184000.0,165896.9,727.6,77.7,72.9,38.9
2007,ID,6.4,33,299,7,374,381,60758000.0,159469.8,724.4,75.5,70.9,37.3
2007,GU,6.5,2,14,0,16,16,2494000.0,155875.0,706.6,76.0,73.8,35.6
2007,PR,6.1,31,206,13,226,239,26847000.0,112330.5,708.8,75.7,68.8,39.2
2007,DE,6.4,20,132,2,173,175,36213000.0,206931.4,713.8,77.9,72.5,38.5
2007,DC,6.3,17,45,3,63,66,17959000.0,272106.1,716.0,71.6,66.6,38.8
2007,VI,6.4,0,4,1,3,4,690000.0,172500.0,698.5,61.0,60.2,35.2
2008,MO,6.1,108,1054,21,1377,1398,231445000.0,165554.4,743.1,0.9,72.4,34.5
2008,WV,6.1,10,151,2,169,171,25704000.0,150315.8,736.8,75.5,72.3,34.3
2008,KY,6.0,46,619,5,727,732,107757000.0,147209.0,741.8,-3.9,72.4,33.0
2008,ND,5.9,9,63,2,85,87,13113000.0,150724.1,740.0,80.3,77.3,37.8
2008,OK,6.2,38,407,4,508,512,74174000.0,144871.1,737.3,21.3,75.9,35.1
2008,ME,6.1,14,202,11,250,261,48217000.0,184739.5,735.6,-17.0,69.0,39.1
2008,NH,6.2,28,202,14,262,276,57271000.0,207503.6,739.8,-1.8,70.2,39.2
2008,MI,6.1,114,1167,23,1380,1403,218030000.0,155402.7,744.8,-3.6,72.0,35.2
2008,NC,5.9,134,1446,8,1873,1881,358315000.0,190491.8,741.6,1.9,71.0,36.0
2008,MA,6.0,174,1007,94,1219,1313,334903000.0,255067.0,746.4,6.2,66.6,37.1
2008,WI,5.9,89,1022,55,1327,1382,244024000.0,176573.1,747.4,3.1,70.6,35.3
2008,IL,6.1,305,2357,107,2927,3034,636213000.0,209694.5,742.3,-1.4,69.9,37.0
2008,NY,6.1,384,1129,229,1519,1748,419439000.0,239953.7,736.4,-2.2,66.7,38.2
2008,MD,6.0,79,831,10,1101,1111,269253000.0,242351.9,735.1,6.6,66.3,37.5
2008,AK,6.0,13,93,10,125,135,29813000.0,220837.0,736.8,-67.3,74.8,38.3
2008,AZ,6.2,94,880,14,1200,1214,242147000.0,199462.1,746.3,0.8,69.2,36.7
2008,KS,6.0,45,348,6,444,450,69014000.0,153364.4,737.9,16.4,76.4,34.7
2008,VA,6.0,120,1126,8,1472,1480,332464000.0,224637.8,741.5,-6.3,68.2,36.6
2008,OH,6.1,121,1108,27,1278,1305,194359000.0,148934.1,742.7,10.6,74.0,35.0
2008,PA,6.1,247,1090,45,1632,1677,310345000.0,185059.6,737.7,-6.9,73.3,37.0
2008,OR,6.0,69,666,27,949,976,215493000.0,220792.0,746.9,-8.6,68.2,38.4
2008,DE,6.0,13,126,3,173,176,41771000.0,237335.2,747.9,-29.8,68.8,36.0
2008,CA,6.0,944,3903,220,5500,5720,1574447000.0,275253.0,748.1,-1.2,64.2,39.3
2008,NJ,6.1,220,883,88,1260,1348,339069000.0,251534.9,736.1,-6.3,66.0,39.4
2008,IN,6.1,92,840,10,1039,1049,147878000.0,140970.4,740.3,-9.6,74.3,32.9
2008,GA,6.0,147,1254,16,1619,1635,309869000.0,189522.3,737.2,-6.1,74.4,37.4
2008,NE,6.1,19,163,6,230,236,37281000.0,157970.3,746.4,-36.4,75.6,35.4
2008,ID,6.0,22,225,3,344,347,60009000.0,172936.6,737.7,1.5,69.8,38.4
2008,FL,6.2,263,1922,26,2528,2554,468432000.0,183411.1,731.3,-1.3,68.7,38.3
2008,VT,6.1,12,132,6,157,163,30217000.0,185380.4,746.3,71.0,66.2,37.1
2008,MN,6.0,104,786,13,1061,1074,207026000.0,192761.6,746.7,-8.1,71.4,36.6
2008,IA,6.0,40,326,4,433,437,62718000.0,143519.5,740.7,9.6,75.5,34.0
2008,RI,6.1,11,135,16,145,161,35290000.0,219192.5,732.6,-51.7,68.2,41.0
2008,UT,6.0,44,641,12,880,892,189276000.0,212192.8,741.3,6.5,72.5,37.5
2008,CT,6.1,69,371,31,501,532,121569000.0,228513.2,739.5,1.4,68.8,39.2
2008,TX,6.2,511,2093,29,2999,3028,534634000.0,176563.4,730.5,-1.1,76.9,36.8
2008,AL,6.0,52,521,5,676,681,116799000.0,171511.0,730.9,3.6,75.0,35.4
2008,CO,6.1,102,905,14,1197,1211,266299000.0,219900.1,748.9,-6.9,70.9,36.7
2008,SC,6.0,77,672,6,861,867,158751000.0,183103.8,735.6,-6.5,71.9,36.0
2008,LA,6.1,65,383,16,513,529,88831000.0,167922.5,723.8,-18.5,75.5,36.7
2008,WA,6.0,137,1177,22,1632,1654,389197000.0,235306.5,745.1,4.8,67.8,37.5
2008,TN,6.1,90,741,11,980,991,166709000.0,168223.0,738.0,-1.6,72.4,36.1
2008,HI,5.9,25,148,6,183,189,67490000.0,357089.9,742.8,6.2,67.0,43.9
2008,AR,6.0,31,243,4,325,329,45858000.0,139386.0,740.8,-18.5,72.7,33.7
2008,WY,6.0,4,61,2,78,80,16079000.0,200987.5,729.4,74.6,71.3,36.6
2008,NM,6.1,30,250,5,327,332,64605000.0,194593.4,735.2,7.3,71.2,37.7
2008,SD,6.0,10,54,2,76,78,13204000.0,169282.1,744.5,76.3,74.7,36.8
2008,MS,6.2,20,173,4,239,243,37588000.0,154683.1,724.7,-37.0,74.3,37.3
2008,DC,6.0,19,74,4,107,111,31670000.0,285315.3,733.7,-66.6,65.3,36.3
